id,dir_genre1,dir_genre2,dir_genre3,actor1_genre1,actor1_genre2,actor1_genre3,actor2_genre1,actor2_genre2,actor2_genre3
434794,18,8,1,18,8,1,18,8,1
9255,3,0,17,0,3,16,3,17,0
140228,7,3,9,3,7,18,3,7,18
52617,3,18,8,3,6,1,3,18,8
55029,15,18,8,15,18,8,15,18,8
224633,6,18,8,6,18,8,6,18,8
100307,2,3,7,2,3,7,2,3,7
98425,12,18,8,12,5,18,12,18,8
50400,3,18,8,3,18,8,3,18,8
96139,3,18,12,3,12,14,3,18,8
195824,18,6,4,3,6,1,3,18,8
293257,18,4,16,18,0,6,18,0,16
449610,6,8,18,6,18,8,6,18,8
49833,3,18,8,3,18,8,3,18,8
261810,5,18,8,5,18,8,5,18,8
175555,3,6,14,3,6,14,3,6,18
43176,3,12,18,12,3,14,3,6,14
346492,16,13,3,13,4,18,13,4,18
275622,14,3,18,14,3,18,14,3,4
258539,3,18,8,3,18,8,3,18,8
334386,16,0,3,0,16,6,0,16,8
41544,0,6,4,0,6,3,14,9,6
78795,6,18,8,6,18,8,6,18,8
334359,6,14,9,6,18,8,6,18,8
53116,3,14,6,3,6,14,16,6,0
396106,18,8,1,18,8,1,18,8,1
395608,3,1,7,1,3,7,1,3,7
284852,6,18,8,18,8,1,6,3,0
68764,5,18,8,5,18,8,5,18,8
428144,12,5,18,12,5,6,12,5,18
59469,6,8,1,4,0,1,6,15,13
408690,5,17,18,19,19,19,19,19,19
449726,0,8,1,0,6,9,6,0,14
238461,3,18,8,3,18,8,3,18,8
299886,18,8,1,18,8,1,19,19,19
92213,11,6,16,11,6,18,11,6,18
335390,6,13,9,6,9,2,6,4,9
269585,18,8,1,18,8,1,18,8,1
267579,6,18,9,6,18,14,6,18,16
400014,6,18,8,6,18,8,6,18,8
15292,5,6,18,5,6,18,5,6,18
51517,16,15,0,0,16,15,0,16,15
440239,9,6,0,18,8,1,18,8,1
81159,3,6,18,6,0,16,6,10,18
340830,6,18,8,6,0,16,6,18,8
189616,3,12,14,3,18,8,18,8,1
387605,1,11,16,11,18,8,11,18,8
289949,3,6,0,6,18,8,6,0,1
42508,12,6,18,6,9,3,6,8,12
76411,6,0,3,15,12,8,13,12,11
360300,14,12,18,14,12,18,14,12,18
308889,7,8,1,18,8,1,2,7,18
341689,15,14,12,6,16,3,6,14,12
84178,16,11,6,16,11,6,16,0,11
142511,11,3,6,0,6,8,0,6,8
6404,5,6,1,11,6,0,6,13,11
221434,6,3,16,16,3,11,11,3,0
359423,14,12,18,18,8,1,18,8,1
9548,0,16,1,0,16,13,0,16,13
157680,18,3,4,0,4,18,18,3,4
79217,6,9,3,6,18,8,14,6,18
316448,6,1,14,1,14,18,1,14,18
162571,2,3,12,2,3,18,19,19,19
107076,6,10,17,17,3,5,3,6,10
64163,18,8,1,3,6,9,18,8,1
246299,3,14,6,6,14,0,6,16,14
32085,8,6,3,11,6,3,19,19,19
86095,0,17,6,0,8,17,18,8,1
56899,9,14,3,6,14,3,3,6,9
26530,6,4,16,3,14,12,14,6,12
198943,3,6,12,3,12,14,3,12,18
356293,17,6,14,6,14,10,6,16,15
357798,5,2,11,19,19,19,19,19,19
253930,4,6,18,6,14,4,1,15,11
59725,3,7,14,3,18,8,3,7,18
196867,3,7,14,6,0,16,3,12,6
148706,6,3,14,3,6,9,3,18,8
46669,3,6,9,3,6,18,3,18,8
207378,18,8,1,3,6,18,14,6,18
444835,14,13,3,14,13,3,14,13,6
431989,5,18,8,5,18,8,5,18,8
433052,0,15,8,18,8,1,3,6,11
4951,14,3,6,6,14,3,6,14,3
162729,3,7,6,3,7,18,3,7,18
341240,18,8,1,6,16,13,19,19,19
6967,6,1,7,6,18,1,6,18,8
60565,3,18,6,18,0,6,6,17,4
168485,18,8,1,18,8,1,14,3,6
108065,0,16,11,16,11,18,16,11,17
26169,16,11,1,13,15,11,6,18,13
11153,3,14,1,3,1,0,3,8,1
40742,3,18,8,3,18,8,3,18,8
39308,1,8,12,8,1,3,8,1,18
259130,3,6,18,6,3,9,6,14,3
329881,11,6,3,6,16,3,6,11,0
115760,3,6,16,18,8,1,18,8,1
433779,6,14,16,6,1,14,14,6,18
84201,6,14,9,6,3,14,9,16,11
168279,18,8,1,18,8,1,18,8,1
113430,6,3,14,6,3,10,1,6,14
347841,1,3,18,1,3,18,1,3,18
119205,4,11,18,0,16,15,0,11,15
286367,11,18,8,11,18,8,3,11,6
419149,14,4,6,18,8,1,18,8,1
89145,3,6,4,3,6,14,3,4,6
449628,6,18,8,6,18,8,6,18,8
243522,0,16,8,0,16,6,18,8,1
429289,5,18,8,5,18,8,5,18,8
100909,3,14,18,3,6,13,18,3,6
61487,6,16,0,5,18,8,5,12,18
89196,5,18,8,5,18,8,19,19,19
260037,14,10,6,6,14,4,0,14,3
27197,6,13,3,6,14,0,6,14,18
125686,14,4,11,11,6,18,11,18,8
308537,6,18,8,6,18,8,6,18,8
31352,2,1,7,2,1,7,2,1,7
78192,5,18,8,5,18,8,5,18,8
444245,4,6,18,6,18,8,0,16,1
45650,3,8,15,8,16,1,16,6,1
282346,6,16,14,16,14,6,6,0,14
9280,19,19,19,19,19,19,19,19,19
54332,9,14,6,14,6,9,14,6,9
80635,12,18,8,12,18,8,12,18,8
69817,6,14,3,0,16,14,16,13,3
117791,6,9,0,6,14,9,6,18,8
191068,6,14,10,6,10,18,6,18,8
84956,6,16,11,16,11,6,16,3,11
57880,3,9,14,9,11,16,3,9,6
191410,5,18,8,5,18,8,5,18,8
368926,15,6,18,15,6,18,15,6,18
172973,9,3,6,6,14,16,6,18,8
163425,6,14,13,6,18,14,18,14,6
19031,2,3,9,19,19,19,19,19,19
131958,3,14,7,3,6,18,3,12,18
16235,16,3,4,15,11,18,16,3,11
161971,2,3,7,2,3,6,2,3,7
334375,16,6,18,6,16,9,3,16,4
121042,9,14,3,3,14,6,14,3,18
221339,2,7,1,1,2,14,1,2,18
72271,6,14,3,16,2,4,6,16,14
308257,3,6,18,6,3,14,3,6,7
385889,2,18,8,2,18,8,2,18,8
366796,9,14,12,18,8,1,4,6,18
402691,6,9,8,6,18,8,6,18,8
269584,14,18,8,10,6,14,3,14,7
315476,3,14,6,3,6,14,3,18,8
262467,14,12,6,14,12,6,14,6,12
524,6,4,3,6,3,4,16,6,0
9453,6,3,14,16,6,3,6,14,3
38909,3,14,6,14,12,6,14,12,6
212399,3,12,4,3,12,18,3,6,13
244982,18,8,1,18,8,1,18,8,1
243153,1,3,6,3,12,6,3,6,9
397885,5,18,8,5,18,8,5,18,8
57706,6,0,1,6,0,1,0,1,4
199482,0,16,11,18,8,1,18,8,1
111100,3,6,14,6,4,0,3,14,6
126381,6,14,18,6,0,4,6,18,13
354898,19,19,19,19,19,19,19,19,19
185642,12,6,18,12,6,18,12,6,18
135807,6,3,0,8,3,6,6,8,3
160825,0,6,17,6,0,1,0,6,16
297207,6,10,18,18,8,1,19,19,19
382906,6,9,7,9,6,7,9,6,7
444315,5,18,8,5,18,8,5,18,8
184960,9,15,2,9,15,2,19,19,19
46367,3,0,6,18,0,6,18,6,0
334856,5,18,8,5,18,8,5,18,8
193515,3,6,18,3,18,8,14,3,6
17362,19,19,19,19,19,19,19,19,19
65901,5,6,11,6,0,3,1,6,18
212485,18,8,1,18,8,1,19,19,19
2362,16,15,18,6,0,1,18,11,1
21849,6,14,16,6,3,18,6,18,14
373167,18,6,0,6,16,13,18,8,1
83880,11,15,3,15,11,0,0,15,3
264164,5,6,18,5,6,18,5,6,18
120828,6,4,17,18,14,3,18,14,8
260683,6,18,8,6,18,8,6,18,8
38772,6,3,5,6,14,3,3,6,18
2900,16,15,6,6,8,3,6,16,0
399722,14,3,6,3,0,14,14,3,18
70584,11,16,13,11,18,8,11,18,8
57402,6,18,8,6,18,8,6,18,8
191646,4,0,16,4,16,18,16,0,15
246424,3,7,16,6,7,18,7,18,8
81769,6,10,0,0,6,16,4,6,18
2972,3,16,15,11,16,15,16,15,11
54927,9,3,5,9,3,5,9,3,5
244427,5,18,8,3,0,7,18,8,1
408157,6,18,8,6,18,8,6,18,8
189306,3,5,6,14,6,18,3,6,7
404720,0,16,4,0,6,16,0,6,9
210795,6,14,8,6,18,8,16,6,14
435310,18,8,1,18,8,1,18,8,1
10776,3,14,12,3,12,11,3,9,12
332409,3,14,6,3,14,18,3,14,1
147380,14,6,18,6,0,14,14,6,18
289191,16,6,9,6,3,16,16,3,6
69347,6,14,13,6,18,8,6,18,8
75304,0,8,1,0,15,11,0,16,3
150136,18,8,1,18,8,1,18,8,1
279543,14,6,18,6,14,18,14,6,18
396281,6,5,9,18,8,1,18,8,1
117488,6,14,5,6,9,15,18,8,1
57146,3,14,12,3,11,18,3,11,18
264905,3,6,18,6,3,14,3,13,6
12834,6,16,4,6,16,14,16,3,4
442479,16,18,8,16,18,8,16,18,8
285633,11,3,15,0,15,16,0,16,15
197821,16,13,18,16,13,18,0,16,15
257287,3,14,5,5,18,8,5,18,8
107008,3,0,16,3,16,0,3,11,18
24565,5,9,8,9,5,8,9,5,8
422528,6,7,18,6,0,7,6,7,18
346302,3,18,8,16,13,3,3,1,18
129709,3,6,18,3,6,18,3,18,8
65385,0,6,17,6,0,3,0,6,17
224889,18,8,1,18,8,1,18,8,1
679,0,15,16,6,16,0,0,16,15
79969,0,6,16,0,6,16,0,16,6
155147,0,6,12,0,9,16,0,3,12
214779,19,19,19,19,19,19,19,19,19
166460,14,3,9,14,3,9,14,9,3
436464,6,18,8,6,18,8,6,15,18
435391,18,8,1,18,8,1,18,8,1
333460,2,3,8,2,18,8,2,18,8
156354,6,5,8,6,18,8,6,18,8
258179,6,3,14,3,14,12,16,13,4
332754,0,15,11,18,8,1,18,8,1
32050,6,4,16,6,16,3,16,6,0
5473,9,4,6,9,4,6,6,4,9
78686,0,6,11,0,6,14,0,9,16
393691,6,3,18,6,14,3,6,18,8
411522,6,16,14,6,18,8,6,18,8
169883,6,14,3,6,3,18,3,6,18
132980,18,6,0,3,6,18,6,8,15
