id,dir_genre1,dir_genre2,dir_genre3,actor1_genre1,actor1_genre2,actor1_genre3,actor2_genre1,actor2_genre2,actor2_genre3
430622,1,18,11,19,19,19,3,6,18
37498,0,3,1,0,16,6,2,7,18
235164,2,3,7,2,7,16,2,3,18
14375,6,9,4,9,0,1,6,14,18
424103,19,19,19,18,8,1,19,19,19
31324,6,14,3,6,3,14,6,14,5
48861,14,3,18,19,19,19,18,8,1
95096,0,4,16,0,16,4,19,19,19
85507,3,14,6,6,3,14,3,6,14
321768,11,18,8,19,19,19,19,19,19
299503,2,3,18,19,19,19,19,19,19
410988,16,6,18,0,16,15,19,19,19
186984,19,19,19,3,6,18,6,18,8
406794,12,5,18,19,19,19,19,19,19
115406,1,3,6,0,1,8,16,4,18
395436,6,0,1,6,15,13,19,19,19
199890,18,8,1,19,19,19,19,19,19
86273,0,6,4,19,19,19,19,19,19
314385,6,14,10,6,0,16,16,6,0
294305,0,1,4,0,4,6,0,16,8
303939,6,12,3,3,14,12,19,19,19
13680,0,1,3,0,1,15,6,7,18
80830,14,3,6,14,6,3,14,6,3
161852,2,3,7,2,3,12,19,19,19
263987,19,19,19,19,19,19,19,19,19
41185,19,19,19,3,6,16,6,7,2
347178,3,8,14,3,15,11,19,19,19
26520,3,6,14,14,6,3,18,5,4
79827,6,11,0,15,1,16,19,19,19
255505,6,4,18,15,3,18,19,19,19
413609,19,19,19,19,19,19,19,19,19
56803,19,19,19,19,19,19,19,19,19
195958,19,19,19,19,19,19,19,19,19
323396,16,13,18,19,19,19,19,19,19
232827,9,16,0,9,7,6,0,6,9
174447,2,3,12,2,3,7,19,19,19
244201,6,3,14,3,14,12,6,14,3
45791,14,3,12,19,19,19,6,3,2
432986,19,19,19,19,19,19,19,19,19
46845,0,6,16,0,3,6,6,16,3
257351,11,18,8,11,18,8,19,19,19
41600,3,7,4,3,7,18,4,6,18
29445,6,16,13,19,19,19,14,6,18
129360,19,19,19,19,19,19,19,19,19
311663,16,14,13,19,19,19,19,19,19
414927,19,19,19,19,19,19,19,19,19
434589,19,19,19,19,19,19,19,19,19
255916,19,19,19,19,19,19,19,19,19
258032,19,19,19,19,19,19,19,19,19
30019,16,6,9,19,19,19,14,3,6
5623,11,6,3,4,11,6,18,4,8
260671,19,19,19,19,19,19,19,19,19
228571,14,6,8,19,19,19,19,19,19
3175,6,5,17,3,14,6,0,3,4
314904,19,19,19,1,6,18,19,19,19
85594,0,3,4,0,3,4,19,19,19
329446,19,19,19,19,19,19,6,18,8
87045,18,8,1,16,13,6,19,19,19
92304,0,15,11,18,8,1,14,3,18
172913,6,14,0,19,19,19,3,18,8
74702,19,19,19,19,19,19,19,19,19
33851,16,15,4,6,16,0,6,7,0
39232,3,12,6,3,18,8,3,18,8
30124,3,14,13,6,7,3,19,19,19
171089,3,18,8,3,18,8,16,14,11
14181,6,18,8,6,18,8,19,19,19
153270,0,9,6,14,0,6,3,16,9
318256,5,18,8,19,19,19,19,19,19
14976,6,3,5,19,19,19,19,19,19
302734,6,18,8,19,19,19,19,19,19
187978,19,19,19,19,19,19,19,19,19
189285,18,8,1,3,6,7,3,6,14
170967,19,19,19,19,19,19,19,19,19
381371,19,19,19,19,19,19,19,19,19
27990,6,1,14,6,3,0,14,3,6
408921,19,19,19,19,19,19,14,0,3
191557,3,18,8,19,19,19,6,18,8
48142,6,5,10,19,19,19,19,19,19
247501,14,3,18,19,19,19,19,19,19
158751,6,3,9,16,4,6,6,16,3
12469,6,14,9,6,18,8,4,6,18
46342,6,10,18,16,6,3,6,1,17
138796,3,18,8,19,19,19,19,19,19
173846,19,19,19,19,19,19,19,19,19
351802,19,19,19,2,1,18,19,19,19
281251,6,18,8,6,18,8,6,18,8
283765,5,18,8,19,19,19,19,19,19
63984,6,18,8,6,18,8,19,19,19
186611,19,19,19,19,19,19,19,19,19
158482,6,18,8,19,19,19,18,8,1
381165,6,14,10,19,19,19,6,18,8
133186,11,18,8,5,12,10,6,14,0
203900,6,18,8,19,19,19,15,3,18
303052,3,14,6,3,6,16,3,4,18
366095,19,19,19,19,19,19,19,19,19
19600,6,14,3,16,14,13,13,4,6
346644,6,0,18,6,18,1,18,8,1
204275,18,8,1,9,6,3,14,6,0
94249,19,19,19,19,19,19,12,6,18
1116,6,3,14,16,6,3,19,19,19
75232,19,19,19,6,18,8,19,19,19
9009,6,9,16,6,16,3,3,6,16
137045,6,12,8,19,19,19,19,19,19
