id,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10
430622,-4229.3,134.1,-147.4,-388.4,-229.8,-40.6,-98.5,-15.1,-35.1,341.9
37498,-1827.8,-1100.8,-1269.6,-303.9,-1664.8,83.7,-1293.4,1681.4,284.7,-397.0
235164,1171.2,-789.5,1661.0,-76.8,-806.9,166.7,-1198.1,149.6,400.7,-24.9
14375,-3490.6,-1639.6,-558.3,-94.6,823.8,-574.1,-147.5,-2271.9,-278.1,-813.7
424103,6746.4,70.4,-413.6,396.3,-696.7,-182.0,-214.7,-30.8,68.7,-23.3
31324,6503.2,-1574.8,2195.1,892.4,579.2,-528.2,372.6,-1230.4,404.5,103.3
48861,10268.9,889.2,-838.2,-756.0,-272.4,-397.5,-342.2,-284.4,773.9,-317.1
95096,7106.2,-349.4,-610.8,2780.9,-301.8,1097.5,365.0,-1059.5,-1308.0,609.0
85507,-5484.1,96.2,160.2,785.6,-261.1,295.1,-63.7,98.2,583.5,345.9
321768,-8174.5,1750.9,249.6,-14.2,2021.2,111.3,-86.3,404.4,-394.1,46.3
299503,-8952.1,559.7,-376.0,-300.1,-984.2,1489.9,199.2,-1869.4,659.8,433.1
410988,1862.7,2046.0,-3095.1,1871.3,-158.9,593.4,81.4,406.0,1582.4,1299.9
186984,-8298.6,466.7,989.4,-677.3,-40.5,-363.6,-851.7,362.9,-33.1,182.6
406794,8971.5,538.9,762.1,813.2,2190.5,-600.9,1923.0,913.3,-1527.8,-208.9
115406,3717.7,-5334.4,130.2,489.7,-357.3,726.5,1476.8,-218.0,590.4,1664.6
395436,-506.9,-2918.6,604.0,-119.8,-530.4,1883.9,1324.6,689.8,-1145.1,-955.7
199890,-4177.8,1801.8,-1865.3,-157.9,767.5,880.8,-8.1,-2440.9,771.4,205.9
86273,4879.2,-2183.4,-1310.8,-553.9,500.0,2017.4,65.2,-49.8,-163.9,731.4
314385,6677.8,-3243.3,-3160.6,191.6,99.9,144.3,-429.1,111.9,184.1,1800.8
294305,2210.4,-2623.7,-32.4,808.8,3348.2,608.5,38.9,-2563.0,597.3,416.7
303939,3926.3,321.9,2093.7,-101.5,1372.1,-699.5,249.1,1031.7,-942.9,77.9
13680,10767.6,544.1,248.5,1065.6,188.0,-1637.2,1183.4,1006.1,-414.5,-437.7
80830,10807.5,1351.5,-833.8,-153.5,-67.5,548.3,190.4,-384.5,87.2,-215.0
161852,-1259.2,-816.9,2845.1,-361.2,303.5,-1149.8,484.2,-858.7,-253.1,74.9
263987,-136.8,-1151.8,-1768.2,4347.5,961.7,742.7,-192.6,216.8,1252.6,250.3
41185,776.2,358.5,-3096.8,858.5,1521.1,1587.0,-255.7,471.5,995.1,250.7
347178,2264.5,-2151.8,-948.7,369.8,446.6,239.0,538.5,-98.5,187.5,-443.9
26520,7440.0,4105.4,349.6,-27.8,268.1,759.0,-600.9,-85.3,-58.7,280.0
79827,-6473.1,485.9,44.4,667.2,-235.3,-1054.7,-88.8,598.0,-1801.1,428.2
255505,423.2,-1545.3,619.6,126.4,1433.5,-848.4,-109.3,-182.2,-335.3,164.9
413609,9417.7,-726.9,1798.8,-328.5,1342.5,-2814.1,1452.3,885.6,322.6,-342.2
56803,8073.1,3003.7,263.6,-1483.0,-727.3,127.6,-119.2,219.8,69.6,265.9
195958,-10308.4,-59.2,1447.7,443.1,711.1,-426.5,-4.1,301.2,29.4,310.2
323396,-4115.7,2422.2,-2720.0,-344.1,1351.2,143.5,619.9,1645.1,-420.7,65.4
232827,1887.9,-2559.0,-2291.3,302.6,643.5,-60.2,-30.7,245.6,103.4,434.7
174447,-4732.1,-227.0,1870.7,65.0,332.9,-1286.0,-917.7,-1012.5,48.8,239.1
244201,4248.8,-435.3,-1239.1,-2539.0,-22.3,841.2,-498.8,-405.4,527.5,-219.5
45791,-3366.9,-858.9,-5157.8,-22.9,429.8,-1717.8,748.3,1.8,-178.8,230.6
432986,7713.2,387.6,991.6,214.0,-164.9,1963.7,-1472.6,437.7,-323.9,-69.7
46845,3596.1,-1068.7,436.6,2791.9,-1820.4,-1240.8,564.7,-649.8,899.2,8.7
257351,3076.2,5117.3,3335.3,-362.2,-940.1,-2011.4,1956.2,129.9,-300.3,-592.2
41600,3990.6,-3048.0,-2490.0,-799.4,-863.1,-417.3,-154.7,-240.1,639.1,1584.3
29445,6456.1,497.3,885.0,69.0,1287.1,-1482.1,512.8,1592.4,-68.9,-201.4
129360,1933.3,-2803.6,386.9,-413.6,279.5,-260.8,869.7,195.8,1899.9,1138.2
311663,150.6,-1816.1,-766.5,-207.1,1530.2,-608.4,-439.5,-178.1,-11.3,-1481.3
414927,5915.9,-2016.2,1481.5,-396.1,1475.7,1073.3,-512.5,-1437.5,39.4,287.7
434589,6894.6,597.9,49.4,1261.1,-691.8,-576.6,173.7,-96.0,376.9,-148.3
255916,-6833.5,-1091.3,401.6,-1812.1,-261.9,-120.4,-97.1,-439.8,-544.8,-535.1
258032,-1173.5,-757.3,-311.7,326.2,1894.3,167.7,-734.0,382.0,1270.7,-351.2
30019,1791.4,-1524.7,2236.8,312.6,-1667.3,3508.5,1092.9,-1708.7,-1395.2,-74.5
5623,-6363.1,-1441.8,-674.7,-273.6,-647.3,-2808.7,402.9,-176.7,-466.0,363.3
260671,8848.2,1375.5,-2485.8,218.0,993.6,-2946.4,717.4,1943.2,650.1,-15.1
228571,-3663.6,359.3,318.3,1751.1,1012.3,-85.5,378.6,-453.6,502.8,-742.4
3175,4865.6,-2571.1,3283.2,90.9,2583.3,-2248.1,-10.3,124.6,-234.7,390.4
314904,1499.9,906.8,-794.3,959.0,-1330.5,-572.8,324.9,540.1,152.9,19.8
85594,6156.1,500.1,826.6,-170.4,-1006.9,-481.8,685.0,512.7,-194.6,-136.6
329446,3714.7,2535.6,719.8,832.7,-263.7,104.3,-352.1,-179.8,478.9,-6.2
87045,-3626.3,-3645.1,-1088.6,-1058.6,1574.9,-367.3,-673.3,-924.9,-2732.6,-507.3
92304,-1502.0,2241.2,208.8,219.2,-753.3,-440.3,-215.0,1021.8,-186.4,-177.7
172913,-5314.5,834.4,1353.7,-38.5,-319.9,-1442.2,-285.6,-290.6,-7.1,195.3
74702,-1975.8,404.2,-2439.9,1305.6,-2108.2,-1362.0,-572.9,2555.1,1979.2,-520.4
33851,3757.1,-1145.2,-2250.0,455.0,812.3,105.0,-12.5,568.3,122.4,257.2
39232,2412.0,-2638.1,-873.9,737.2,-470.4,532.5,410.0,-596.5,723.0,365.1
30124,963.9,2304.9,-462.9,27.2,172.1,192.8,752.9,421.4,251.2,-17.9
171089,11016.1,1378.1,-1731.6,-19.9,-109.6,519.3,2.1,56.4,-11.4,323.3
14181,-2980.3,2513.2,-799.0,-302.1,983.9,-513.1,3525.7,-241.3,210.0,-340.4
153270,-5121.9,47.3,1441.7,862.0,946.6,-120.0,-378.1,-674.6,1071.8,-186.1
318256,3593.6,-341.2,-1093.1,-566.1,420.4,-579.9,690.9,65.7,778.3,4.6
14976,-7422.4,499.0,869.2,692.5,463.8,161.2,-179.2,-602.9,246.7,829.6
302734,3692.6,1788.1,2491.6,-1320.8,556.5,-331.0,-420.4,93.1,280.9,242.9
187978,-1302.4,5271.5,2944.8,-396.7,-55.4,-45.7,0.8,-65.5,248.0,179.6
189285,968.1,-505.5,-2204.0,378.1,315.5,-475.4,503.3,120.1,24.0,576.2
170967,-2088.1,-73.5,126.2,-589.6,-1364.6,-1738.6,1616.7,-552.8,-163.2,186.5
381371,1319.7,-3008.3,-3693.7,-123.8,-831.6,-749.5,209.0,-16.0,-627.1,-114.9
27990,428.1,-3857.2,-103.6,8.0,-660.9,2399.2,1910.4,744.7,83.6,1161.9
408921,-5758.3,1549.2,-1203.0,-9.4,-1272.9,886.8,-526.3,-550.6,190.7,38.7
191557,8643.8,-247.7,1546.1,114.0,-51.6,-217.3,-973.5,-889.4,824.1,-98.8
48142,-31.5,-121.5,1751.3,-723.5,325.8,-1178.7,457.9,150.9,-1315.3,244.8
247501,2736.8,-4962.4,-4136.3,207.7,10.3,171.2,123.0,-176.9,254.5,2308.0
158751,-3519.5,-834.8,-854.5,-109.6,-10.3,822.4,29.5,308.2,-32.3,467.4
12469,-2254.1,241.1,881.5,920.9,3069.8,392.5,-463.9,-587.1,499.4,-299.8
46342,-2574.1,-2722.4,-106.4,2721.2,-1618.2,-2769.5,-829.7,-323.6,422.0,-1761.6
138796,4582.1,-1575.7,1490.6,-379.9,2978.3,-1652.9,-797.9,2349.9,391.9,25.7
173846,-3618.0,-430.5,2206.9,-434.7,673.1,-280.3,-292.8,-847.3,-1446.4,324.7
351802,4541.4,-1505.5,320.3,-128.8,-1584.7,706.3,-206.6,-234.6,-304.9,952.6
281251,2635.0,-1873.0,-688.9,1596.4,-378.3,875.3,141.0,204.7,-384.7,1026.6
283765,-137.8,-1969.1,-2000.1,-130.1,556.6,2472.4,-63.2,681.3,19.2,1071.0
63984,7263.0,-138.5,-776.9,780.9,-313.0,-865.9,369.2,-785.2,34.2,-24.5
186611,10675.1,2513.1,-539.5,252.9,-333.6,72.2,-176.7,50.6,87.1,50.5
158482,-4474.0,1885.5,-963.8,2465.7,-45.8,600.7,163.6,983.4,-2674.2,-61.9
381165,-438.0,-3063.7,-630.3,902.0,-420.4,2229.0,304.3,-101.6,-1167.6,613.0
133186,-6561.9,1005.5,2441.9,1634.6,2201.4,53.1,286.4,-290.5,1236.9,353.1
203900,5196.6,-5.5,80.7,3749.1,-1599.7,57.8,1145.0,-427.7,-1615.9,-14.8
303052,743.3,-13.2,-3310.2,-251.3,831.7,22.2,879.6,215.4,-1128.3,332.6
366095,1916.6,1403.9,598.5,42.0,2486.6,-1656.4,-367.9,2922.2,150.5,-161.2
19600,1261.2,762.6,-1441.1,-2535.6,-281.7,-146.4,396.9,-298.2,-746.5,-1009.2
346644,9676.2,603.4,-811.0,-113.6,-855.5,-170.4,70.2,-516.0,705.7,76.5
204275,-1547.0,633.8,-11.9,724.2,2777.7,-166.9,-306.1,848.2,769.5,-383.4
94249,2062.6,-3479.4,-537.0,-533.9,-2062.1,1219.1,2136.0,-158.8,512.3,-1421.6
1116,-4355.7,-514.7,1625.7,1239.8,653.3,512.2,-1028.8,104.1,1772.6,328.4
75232,10732.1,1193.3,-1205.1,1072.6,-1070.3,-127.5,-107.4,-16.4,46.5,-169.6
9009,-2506.2,714.7,475.4,7054.3,-979.0,-2177.0,-237.2,214.2,-259.8,257.0
137045,-6704.7,1680.4,-1386.0,-289.1,-3131.8,854.6,-451.7,-2003.5,869.0,251.4
236438,-7335.7,-523.0,-2566.0,294.0,-987.2,179.0,149.4,-424.3,-134.1,522.6
210933,-4057.1,-4172.4,-2704.6,-196.9,-68.4,-782.5,120.3,-566.0,1028.2,-2628.8
246539,-2195.7,-132.5,-519.9,-3658.5,-1321.3,382.5,-457.8,-1611.4,-564.3,281.5
45477,5723.7,948.5,-685.7,544.5,1311.8,1260.0,-1089.0,32.8,-251.0,-841.0
283327,-7787.4,-501.7,296.5,-711.9,75.4,-306.7,-187.9,-947.8,-789.0,88.9
404504,-8482.5,822.6,-287.5,-379.7,-2160.0,-300.2,152.8,-1355.3,1290.1,-64.7
195945,-5584.4,-1273.4,-687.2,6.7,-605.4,392.9,-503.7,-535.2,-125.3,-96.1
8835,3215.6,2482.3,1370.2,87.8,-600.8,586.6,-458.4,-387.6,-279.6,-1286.0
413995,-2301.4,2614.9,-432.2,-526.2,884.8,1258.9,-200.8,-107.7,15.3,2012.5
110525,-278.7,-2827.5,-955.4,99.6,-1201.1,752.5,1108.1,1441.8,998.4,714.0
399174,-9601.5,-128.6,-90.4,-277.9,462.3,128.6,297.9,958.6,201.8,-207.7
14389,4403.1,-5402.8,-3447.1,15.9,-264.4,-81.9,-197.5,214.8,105.8,2386.2
68908,-9483.6,-217.6,1305.0,52.1,59.4,-579.3,338.3,-254.0,-0.4,66.4
434404,-1248.4,-2789.2,1971.5,-53.6,63.1,-154.6,53.1,-995.5,68.6,1065.0
159207,-911.1,437.7,1671.2,2471.6,1591.0,315.5,508.6,705.3,-1094.7,-89.0
371446,-6081.8,-822.5,-787.8,1268.2,-320.3,-548.1,732.1,-234.3,923.9,250.6
39405,2047.1,4867.0,967.5,587.8,2291.8,478.9,-241.0,370.0,787.4,1435.8
342761,7060.1,-499.0,2103.2,-413.2,686.0,148.7,242.5,-305.9,148.7,-247.9
334735,1504.1,758.5,1084.1,-624.6,888.4,-5.1,-1448.6,-53.9,-267.3,18.7
283116,5323.0,858.2,1060.2,121.6,290.0,956.8,-744.7,-54.6,53.2,27.9
18899,-6011.1,162.8,-1528.8,-820.9,115.4,33.6,469.9,111.6,284.0,44.3
75286,-164.8,-1866.7,459.8,1145.7,-98.5,37.4,-208.1,259.5,881.7,364.7
68484,963.2,2206.2,-869.8,420.9,72.3,-186.0,-221.3,346.8,-12.0,-690.0
256564,157.1,745.2,-894.2,-1975.9,1297.3,447.5,361.3,117.2,267.5,2374.3
404464,733.0,45.7,1903.3,2924.4,-342.2,-1403.6,-1151.2,-182.5,-0.6,-621.4
138264,2033.7,483.1,572.3,-2590.3,-1176.4,345.9,229.9,-157.8,-908.4,427.8
141010,-5531.3,-3762.0,-1084.1,-1229.4,1296.4,816.7,-124.2,181.9,-449.1,-1709.9
184579,2113.9,-504.9,2367.9,-133.1,598.4,-2380.9,-1687.5,-916.2,237.0,335.3
282736,-2669.4,-2125.0,-221.5,59.1,-388.4,559.4,160.8,-134.4,-192.5,-998.5
68522,-865.9,4558.7,2950.2,-144.9,-20.0,-479.6,298.4,47.1,-88.9,-992.0
176533,-8419.8,66.7,1744.0,-1779.9,783.8,-611.6,211.5,-852.5,-1399.9,448.0
291904,-5942.5,339.5,-1037.4,-673.4,767.9,-12.9,592.7,-593.6,-486.3,240.1
102756,2524.8,-3017.2,2222.5,504.0,1785.9,-385.3,105.0,-916.3,-1357.7,302.2
194197,6301.5,38.0,-855.8,-29.7,929.6,3125.5,-320.2,432.7,317.2,-746.7
356376,1049.7,-3634.0,3371.7,362.6,-2533.9,-424.5,-1944.2,697.5,-738.6,-799.4
267870,3693.2,-619.5,-374.7,284.6,-503.8,203.0,-210.7,-110.1,-240.3,257.3
